denominazione_regione,sigla_provincia,DateIndex,data,days_from_lock,stato,codice_regione,codice_provincia,denominazione_provincia,lat,long,totale_casi,totale_casi_100k
Emilia-Romagna,BO,2020-02-24,2020-02-24,-14 days,ITA,8,37,Bologna,44.49436681,11.3417208,0,0.0
Emilia-Romagna,BO,2020-02-25,2020-02-25,-13 days,ITA,8,37,Bologna,44.49436681,11.3417208,0,0.0
Emilia-Romagna,BO,2020-02-26,2020-02-26,-12 days,ITA,8,37,Bologna,44.49436681,11.3417208,0,0.0
Emilia-Romagna,BO,2020-02-27,2020-02-27,-11 days,ITA,8,37,Bologna,44.49436681,11.3417208,0,0.0
Emilia-Romagna,BO,2020-02-28,2020-02-28,-10 days,ITA,8,37,Bologna,44.49436681,11.3417208,0,0.0
Emilia-Romagna,BO,2020-02-29,2020-02-29,-9 days,ITA,8,37,Bologna,44.49436681,11.3417208,2,0.0
Emilia-Romagna,BO,2020-03-01,2020-03-01,-8 days,ITA,8,37,Bologna,44.49436681,11.3417208,2,0.0
Emilia-Romagna,BO,2020-03-02,2020-03-02,-7 days,ITA,8,37,Bologna,44.49436681,11.3417208,3,0.0
Emilia-Romagna,BO,2020-03-03,2020-03-03,-6 days,ITA,8,37,Bologna,44.49436681,11.3417208,6,1.0
Emilia-Romagna,BO,2020-03-04,2020-03-04,-5 days,ITA,8,37,Bologna,44.49436681,11.3417208,11,1.0
Emilia-Romagna,BO,2020-03-05,2020-03-05,-4 days,ITA,8,37,Bologna,44.49436681,11.3417208,19,2.0
Emilia-Romagna,BO,2020-03-06,2020-03-06,-3 days,ITA,8,37,Bologna,44.49436681,11.3417208,41,4.0
Emilia-Romagna,BO,2020-03-07,2020-03-07,-2 days,ITA,8,37,Bologna,44.49436681,11.3417208,49,5.0
Emilia-Romagna,BO,2020-03-08,2020-03-08,-1 days,ITA,8,37,Bologna,44.49436681,11.3417208,62,6.0
Emilia-Romagna,BO,2020-03-09,2020-03-09,0 days,ITA,8,37,Bologna,44.49436681,11.3417208,80,8.0
Emilia-Romagna,BO,2020-03-10,2020-03-10,1 days,ITA,8,37,Bologna,44.49436681,11.3417208,86,8.0
Emilia-Romagna,BO,2020-03-11,2020-03-11,2 days,ITA,8,37,Bologna,44.49436681,11.3417208,108,11.0
Emilia-Romagna,BO,2020-03-12,2020-03-12,3 days,ITA,8,37,Bologna,44.49436681,11.3417208,122,12.0
Emilia-Romagna,BO,2020-03-13,2020-03-13,4 days,ITA,8,37,Bologna,44.49436681,11.3417208,155,15.0
Emilia-Romagna,BO,2020-03-14,2020-03-14,5 days,ITA,8,37,Bologna,44.49436681,11.3417208,195,19.0
Emilia-Romagna,BO,2020-03-15,2020-03-15,6 days,ITA,8,37,Bologna,44.49436681,11.3417208,230,23.0
Emilia-Romagna,BO,2020-03-16,2020-03-16,7 days,ITA,8,37,Bologna,44.49436681,11.3417208,291,29.0
Emilia-Romagna,BO,2020-03-17,2020-03-17,8 days,ITA,8,37,Bologna,44.49436681,11.3417208,333,33.0
Emilia-Romagna,BO,2020-03-18,2020-03-18,9 days,ITA,8,37,Bologna,44.49436681,11.3417208,395,39.0
Emilia-Romagna,BO,2020-03-19,2020-03-19,10 days,ITA,8,37,Bologna,44.49436681,11.3417208,465,46.0
Emilia-Romagna,BO,2020-03-20,2020-03-20,11 days,ITA,8,37,Bologna,44.49436681,11.3417208,552,54.0
Emilia-Romagna,BO,2020-03-21,2020-03-21,12 days,ITA,8,37,Bologna,44.49436681,11.3417208,610,60.0
Emilia-Romagna,BO,2020-03-22,2020-03-22,13 days,ITA,8,37,Bologna,44.49436681,11.3417208,674,66.0
Emilia-Romagna,BO,2020-03-23,2020-03-23,14 days,ITA,8,37,Bologna,44.49436681,11.3417208,833,82.0
Emilia-Romagna,BO,2020-03-24,2020-03-24,15 days,ITA,8,37,Bologna,44.49436681,11.3417208,968,95.0
Emilia-Romagna,BO,2020-03-25,2020-03-25,16 days,ITA,8,37,Bologna,44.49436681,11.3417208,1107,109.0
Emilia-Romagna,BO,2020-03-26,2020-03-26,17 days,ITA,8,37,Bologna,44.49436681,11.3417208,1253,123.0
Emilia-Romagna,BO,2020-03-27,2020-03-27,18 days,ITA,8,37,Bologna,44.49436681,11.3417208,1413,139.0
Emilia-Romagna,BO,2020-03-28,2020-03-28,19 days,ITA,8,37,Bologna,44.49436681,11.3417208,1586,156.0
Emilia-Romagna,BO,2020-03-29,2020-03-29,20 days,ITA,8,37,Bologna,44.49436681,11.3417208,1743,172.0
Emilia-Romagna,BO,2020-03-30,2020-03-30,21 days,ITA,8,37,Bologna,44.49436681,11.3417208,1872,184.0
Emilia-Romagna,BO,2020-03-31,2020-03-31,22 days,ITA,8,37,Bologna,44.49436681,11.3417208,1940,191.0
Emilia-Romagna,BO,2020-04-01,2020-04-01,23 days,ITA,8,37,Bologna,44.49436681,11.3417208,2084,205.0
Emilia-Romagna,BO,2020-04-02,2020-04-02,24 days,ITA,8,37,Bologna,44.49436681,11.3417208,2225,219.0
Emilia-Romagna,BO,2020-04-03,2020-04-03,25 days,ITA,8,37,Bologna,44.49436681,11.3417208,2339,230.0
Emilia-Romagna,BO,2020-04-04,2020-04-04,26 days,ITA,8,37,Bologna,44.49436681,11.3417208,2429,239.0
Emilia-Romagna,BO,2020-04-05,2020-04-05,27 days,ITA,8,37,Bologna,44.49436681,11.3417208,2521,248.0
Emilia-Romagna,BO,2020-04-06,2020-04-06,28 days,ITA,8,37,Bologna,44.49436681,11.3417208,2617,258.0
Emilia-Romagna,BO,2020-04-07,2020-04-07,29 days,ITA,8,37,Bologna,44.49436681,11.3417208,2656,261.0
Emilia-Romagna,BO,2020-04-08,2020-04-08,30 days,ITA,8,37,Bologna,44.49436681,11.3417208,2758,271.0
Emilia-Romagna,BO,2020-04-09,2020-04-09,31 days,ITA,8,37,Bologna,44.49436681,11.3417208,2856,281.0
Emilia-Romagna,BO,2020-04-10,2020-04-10,32 days,ITA,8,37,Bologna,44.49436681,11.3417208,2954,291.0
Emilia-Romagna,BO,2020-04-11,2020-04-11,33 days,ITA,8,37,Bologna,44.49436681,11.3417208,3075,303.0
Emilia-Romagna,BO,2020-04-12,2020-04-12,34 days,ITA,8,37,Bologna,44.49436681,11.3417208,3197,315.0
Emilia-Romagna,BO,2020-04-13,2020-04-13,35 days,ITA,8,37,Bologna,44.49436681,11.3417208,3292,324.0
Emilia-Romagna,BO,2020-04-14,2020-04-14,36 days,ITA,8,37,Bologna,44.49436681,11.3417208,3320,327.0
Emilia-Romagna,BO,2020-04-15,2020-04-15,37 days,ITA,8,37,Bologna,44.49436681,11.3417208,3380,333.0
Emilia-Romagna,BO,2020-04-16,2020-04-16,38 days,ITA,8,37,Bologna,44.49436681,11.3417208,3490,344.0
Emilia-Romagna,BO,2020-04-17,2020-04-17,39 days,ITA,8,37,Bologna,44.49436681,11.3417208,3619,356.0
Emilia-Romagna,BO,2020-04-18,2020-04-18,40 days,ITA,8,37,Bologna,44.49436681,11.3417208,3679,362.0
Emilia-Romagna,BO,2020-04-19,2020-04-19,41 days,ITA,8,37,Bologna,44.49436681,11.3417208,3740,368.0
Emilia-Romagna,BO,2020-04-20,2020-04-20,42 days,ITA,8,37,Bologna,44.49436681,11.3417208,3822,376.0
Emilia-Romagna,BO,2020-04-21,2020-04-21,43 days,ITA,8,37,Bologna,44.49436681,11.3417208,3865,380.0
Emilia-Romagna,BO,2020-04-22,2020-04-22,44 days,ITA,8,37,Bologna,44.49436681,11.3417208,3917,386.0
Emilia-Romagna,BO,2020-04-23,2020-04-23,45 days,ITA,8,37,Bologna,44.49436681,11.3417208,3971,391.0
Emilia-Romagna,BO,2020-04-24,2020-04-24,46 days,ITA,8,37,Bologna,44.49436681,11.3417208,4033,397.0
Emilia-Romagna,BO,2020-04-25,2020-04-25,47 days,ITA,8,37,Bologna,44.49436681,11.3417208,4102,404.0
Emilia-Romagna,BO,2020-04-26,2020-04-26,48 days,ITA,8,37,Bologna,44.49436681,11.3417208,4156,409.0
Emilia-Romagna,BO,2020-04-27,2020-04-27,49 days,ITA,8,37,Bologna,44.49436681,11.3417208,4191,413.0
Emilia-Romagna,BO,2020-04-28,2020-04-28,50 days,ITA,8,37,Bologna,44.49436681,11.3417208,4263,420.0
Emilia-Romagna,BO,2020-04-29,2020-04-29,51 days,ITA,8,37,Bologna,44.49436681,11.3417208,4352,428.0
Emilia-Romagna,BO,2020-04-30,2020-04-30,52 days,ITA,8,37,Bologna,44.49436681,11.3417208,4416,435.0
Emilia-Romagna,BO,2020-05-01,2020-05-01,53 days,ITA,8,37,Bologna,44.49436681,11.3417208,4458,439.0
Emilia-Romagna,BO,2020-05-02,2020-05-02,54 days,ITA,8,37,Bologna,44.49436681,11.3417208,4507,444.0
Emilia-Romagna,BO,2020-05-03,2020-05-03,55 days,ITA,8,37,Bologna,44.49436681,11.3417208,4550,448.0
