codice_regione,DateIndex,data,stato,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,ingressi_terapia_intensiva,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido
1,2020-02-24,2020-02-24,ITA,Piemonte,45.0732745,7.680687483,2,0,2,1,3,0,3,0,0,,,3,141,,,,,,
1,2020-02-25,2020-02-25,ITA,Piemonte,45.0732745,7.680687483,2,0,2,1,3,0,0,0,0,,,3,141,,,,,,
1,2020-02-26,2020-02-26,ITA,Piemonte,45.0732745,7.680687483,2,0,2,1,3,0,0,0,0,,,3,156,,,,,,
1,2020-02-27,2020-02-27,ITA,Piemonte,45.0732745,7.680687483,2,0,2,0,2,-1,-1,0,0,,,2,156,,,,,,
1,2020-02-28,2020-02-28,ITA,Piemonte,45.0732745,7.680687483,7,0,7,4,11,9,9,0,0,,,11,227,,,,,,
1,2020-02-29,2020-02-29,ITA,Piemonte,45.0732745,7.680687483,7,0,7,4,11,0,0,0,0,,,11,308,,,,,,
1,2020-03-01,2020-03-01,ITA,Piemonte,45.0732745,7.680687483,11,2,13,36,49,38,38,0,0,,,49,362,,,,,,
1,2020-03-02,2020-03-02,ITA,Piemonte,45.0732745,7.680687483,12,2,14,37,51,2,2,0,0,,,51,434,,,,,,
1,2020-03-03,2020-03-03,ITA,Piemonte,45.0732745,7.680687483,13,3,16,40,56,5,5,0,0,,,56,458,,,,,,
1,2020-03-04,2020-03-04,ITA,Piemonte,45.0732745,7.680687483,26,13,39,43,82,26,26,0,0,,,82,543,,,,,,
1,2020-03-05,2020-03-05,ITA,Piemonte,45.0732745,7.680687483,43,17,60,46,106,24,26,0,2,,,108,543,,,,,,
1,2020-03-06,2020-03-06,ITA,Piemonte,45.0732745,7.680687483,57,30,87,52,139,33,35,0,4,,,143,793,,,,,,
1,2020-03-07,2020-03-07,ITA,Piemonte,45.0732745,7.680687483,110,38,148,54,202,63,64,0,5,,,207,1046,,,,,,
1,2020-03-08,2020-03-08,ITA,Piemonte,45.0732745,7.680687483,245,45,290,65,355,153,153,0,5,,,360,1636,,,,,,
1,2020-03-09,2020-03-09,ITA,Piemonte,45.0732745,7.680687483,222,50,272,65,337,-18,-10,0,13,,,350,1681,,,,,,
1,2020-03-10,2020-03-10,ITA,Piemonte,45.0732745,7.680687483,306,66,372,64,436,99,103,0,17,,,453,2374,,,,,,
1,2020-03-11,2020-03-11,ITA,Piemonte,45.0732745,7.680687483,319,75,394,86,480,44,48,0,21,,,501,2431,,,,,,
1,2020-03-12,2020-03-12,ITA,Piemonte,45.0732745,7.680687483,368,97,465,89,554,74,79,0,26,,,580,2879,,,,,,
1,2020-03-13,2020-03-13,ITA,Piemonte,45.0732745,7.680687483,556,135,691,103,794,240,260,0,46,,,840,3105,,,,,,
1,2020-03-14,2020-03-14,ITA,Piemonte,45.0732745,7.680687483,538,150,688,126,814,20,33,0,59,,,873,3680,,,,,,
1,2020-03-15,2020-03-15,ITA,Piemonte,45.0732745,7.680687483,726,171,897,133,1030,216,238,0,81,,,1111,4375,,,,,,
1,2020-03-16,2020-03-16,ITA,Piemonte,45.0732745,7.680687483,1045,186,1231,174,1405,375,405,0,111,,,1516,5588,,,,,,
