DateIndex,data,days_from_lock,stato,codice_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,nuovi_positivi_ma,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,ingressi_terapia_intensiva,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,totale_positivi_100k,nuovi_positivi_100k,nuovi_positivi_100k_ma,deceduti_100k,totale_casi_100k
2020-02-24,2020-02-24,-14 days,ITA,8,44.49436681,11.3417208,10,2,12,6,18,0,18,0,,0,,,18,148,,,,,,,0.0,0.0,,0.0,0.0
2020-02-25,2020-02-25,-13 days,ITA,8,44.49436681,11.3417208,15,2,17,9,26,8,8,0,,0,,,26,391,,,,,,,1.0,0.0,,0.0,1.0
2020-02-26,2020-02-26,-12 days,ITA,8,44.49436681,11.3417208,20,3,23,23,46,20,21,0,,1,,,47,577,,,,,,,1.0,0.0,,0.0,1.0
2020-02-27,2020-02-27,-11 days,ITA,8,44.49436681,11.3417208,36,6,42,54,96,50,50,0,,1,,,97,1033,,,,,,,2.0,1.0,,0.0,2.0
2020-02-28,2020-02-28,-10 days,ITA,8,44.49436681,11.3417208,56,6,62,81,143,47,48,0,,2,,,145,1277,,,,,,,3.0,1.0,,0.0,3.0
2020-02-29,2020-02-29,-9 days,ITA,8,44.49436681,11.3417208,86,11,97,116,213,70,72,0,,4,,,217,1550,,,,,,,5.0,2.0,,0.0,5.0
2020-03-01,2020-03-01,-8 days,ITA,8,44.49436681,11.3417208,127,13,140,137,277,64,68,0,40.714285714285715,8,,,285,1795,,,,,,,6.0,2.0,0.8571428571428571,0.0,6.0
2020-03-02,2020-03-02,-7 days,ITA,8,44.49436681,11.3417208,148,16,164,160,324,47,50,0,45.285714285714285,11,,,335,1973,,,,,,,7.0,1.0,1.0,0.0,8.0
2020-03-03,2020-03-03,-6 days,ITA,8,44.49436681,11.3417208,187,24,211,187,398,74,85,4,56.285714285714285,18,,,420,2012,,,,,,,9.0,2.0,1.2857142857142858,0.0,9.0
2020-03-04,2020-03-04,-5 days,ITA,8,44.49436681,11.3417208,256,26,282,234,516,118,124,6,71.0,22,,,544,2500,,,,,,,12.0,3.0,1.7142857142857142,0.0,12.0
2020-03-05,2020-03-05,-4 days,ITA,8,44.49436681,11.3417208,327,32,359,299,658,142,154,10,85.85714285714286,30,,,698,2884,,,,,,,15.0,3.0,2.0,1.0,16.0
2020-03-06,2020-03-06,-3 days,ITA,8,44.49436681,11.3417208,397,53,450,366,816,158,172,17,103.57142857142857,37,,,870,3136,,,,,,,18.0,4.0,2.4285714285714284,1.0,20.0
2020-03-07,2020-03-07,-2 days,ITA,8,44.49436681,11.3417208,464,64,528,409,937,121,140,25,113.28571428571429,48,,,1010,3604,,,,,,,21.0,3.0,2.5714285714285716,1.0,23.0
2020-03-08,2020-03-08,-1 days,ITA,8,44.49436681,11.3417208,542,75,617,480,1097,160,170,27,127.85714285714286,56,,,1180,4344,,,,,,,25.0,4.0,2.857142857142857,1.0,27.0
2020-03-09,2020-03-09,0 days,ITA,8,44.49436681,11.3417208,576,90,666,620,1286,189,206,30,150.14285714285714,70,,,1386,4906,,,,,,,29.0,5.0,3.4285714285714284,2.0,31.0
2020-03-10,2020-03-10,1 days,ITA,8,44.49436681,11.3417208,669,98,767,650,1417,131,147,31,159.0,85,,,1533,5494,,,,,,,32.0,3.0,3.5714285714285716,2.0,35.0
2020-03-11,2020-03-11,2 days,ITA,8,44.49436681,11.3417208,745,104,849,739,1588,171,206,38,170.71428571428572,113,,,1739,6640,,,,,,,36.0,5.0,3.857142857142857,3.0,39.0
2020-03-12,2020-03-12,3 days,ITA,8,44.49436681,11.3417208,814,112,926,832,1758,170,208,43,178.42857142857142,146,,,1947,7600,,,,,,,40.0,5.0,4.142857142857143,3.0,44.0
2020-03-13,2020-03-13,4 days,ITA,8,44.49436681,11.3417208,942,128,1070,941,2011,253,316,51,199.0,201,,,2263,8787,,,,,,,45.0,7.0,4.571428571428571,5.0,51.0
2020-03-14,2020-03-14,5 days,ITA,8,44.49436681,11.3417208,1076,152,1228,1121,2349,338,381,54,233.42857142857142,241,,,2644,10043,,,,,,,53.0,9.0,5.428571428571429,5.0,60.0
